SAMPLE	REGION	GENE	CCF
CRUK0240	R4	CDKN2A	1
CRUK0240	R4	CHD8	0.34
CRUK0240	R4	CYLD	1
CRUK0240	R4	FBXW7	0.98
CRUK0240	R4	TP53	1
CRUK0240	R4	TSC2	0.02
CRUK0240	R4	TSC2	1
CRUK0241	R1	ARID2	0.91
CRUK0241	R1	BRCA2	0.02
CRUK0241	R1	DNAH12	1
CRUK0241	R1	FANCM	1
CRUK0241	R1	IKZF1	0.93
CRUK0241	R1	KMT2D	0.02
CRUK0241	R1	KMT2D	0.76
CRUK0241	R1	NF2	0.78
CRUK0241	R1	PTCH1	0.98
CRUK0241	R1	PTCH1	1
CRUK0241	R1	RYR2	0.02
CRUK0241	R1	RYR2	0.79
CRUK0241	R1	RYR2	0.93
CRUK0241	R1	RYR2	0.93
CRUK0241	R1	RYR2	0.94
CRUK0241	R1	RYR2	1
CRUK0241	R1	RYR2	1
CRUK0241	R1	TP53	0.99
CRUK0241	R2	ARID2	1
CRUK0241	R2	BRCA2	1
CRUK0241	R2	DNAH12	1
CRUK0241	R2	FANCM	1
CRUK0241	R2	IKZF1	0.98
CRUK0241	R2	KMT2D	0.02
CRUK0241	R2	KMT2D	1
CRUK0241	R2	NF2	1
CRUK0241	R2	PTCH1	0.02
CRUK0241	R2	PTCH1	0.94
CRUK0241	R2	RYR2	0.02
CRUK0241	R2	RYR2	0.91
CRUK0241	R2	RYR2	0.93
CRUK0241	R2	RYR2	0.98
CRUK0241	R2	RYR2	1
CRUK0241	R2	RYR2	1
CRUK0241	R2	RYR2	1
CRUK0241	R2	TP53	0.99
CRUK0241	R3	ARID2	0.99
CRUK0241	R3	BRCA2	0.02
CRUK0241	R3	DNAH12	1
CRUK0241	R3	FANCM	1
CRUK0241	R3	IKZF1	0.97
CRUK0241	R3	KMT2D	0.97
CRUK0241	R3	KMT2D	1
CRUK0241	R3	NF2	0.93
CRUK0241	R3	PTCH1	0.02
CRUK0241	R3	PTCH1	0.96
CRUK0241	R3	RYR2	0.02
CRUK0241	R3	RYR2	0.71
CRUK0241	R3	RYR2	0.87
CRUK0241	R3	RYR2	0.95
CRUK0241	R3	RYR2	0.97
CRUK0241	R3	RYR2	0.98
CRUK0241	R3	RYR2	1
CRUK0241	R3	TP53	1
CRUK0241	R4	ARID2	1
CRUK0241	R4	BRCA2	0.02
CRUK0241	R4	DNAH12	1
CRUK0241	R4	FANCM	1
CRUK0241	R4	IKZF1	1
CRUK0241	R4	KMT2D	0.61
CRUK0241	R4	KMT2D	1
CRUK0241	R4	NF2	0.77
CRUK0241	R4	PTCH1	0.02
CRUK0241	R4	PTCH1	1
CRUK0241	R4	RYR2	0.06
CRUK0241	R4	RYR2	0.56
CRUK0241	R4	RYR2	0.77
CRUK0241	R4	RYR2	0.93
CRUK0241	R4	RYR2	1
CRUK0241	R4	RYR2	1
CRUK0241	R4	RYR2	1
CRUK0241	R4	TP53	0.96
CRUK0242	R1	CDK12	0.19
CRUK0242	R1	KMT2D	1
CRUK0242	R1	TP53	1
CRUK0242	R2	CDK12	0.02
CRUK0242	R2	KMT2D	0.94
CRUK0242	R2	TP53	0.95
CRUK0242	R3	CDK12	0.49
CRUK0242	R3	KMT2D	0.27
CRUK0242	R3	TP53	1
CRUK0245	LN1	ARID1B	0.96
CRUK0245	LN1	PTEN	0.02
CRUK0245	LN1	PTEN	0.02
CRUK0245	LN1	PTEN	0.02
CRUK0245	LN1	RB1	1
CRUK0245	R1	ARID1B	0.92
CRUK0245	R1	PTEN	0.02
CRUK0245	R1	PTEN	0.02
CRUK0245	R1	PTEN	0.02
CRUK0245	R1	RB1	0.99
CRUK0245	R2	ARID1B	1
CRUK0245	R2	PTEN	0.11
CRUK0245	R2	PTEN	0.13
CRUK0245	R2	PTEN	0.22
CRUK0245	R2	RB1	0.96
CRUK0246	R1	EXT2	1
CRUK0246	R1	PLXNB2	0.16
CRUK0246	R1	TP53	1
CRUK0246	R2	EXT2	0.99
CRUK0246	R2	PLXNB2	0.02
CRUK0246	R2	TP53	1
CRUK0249	R1	CBL	0.02
CRUK0249	R1	CBL	0.02
CRUK0249	R1	KEAP1	1
CRUK0249	R1	KEAP1	0.02
CRUK0249	R1	POLE	0.91
CRUK0249	R1	POLE	0.02
CRUK0249	R1	POT1	1
CRUK0249	R1	POT1	0.02
CRUK0249	R1	TP53	0.02
CRUK0249	R1	TP53	0.02
CRUK0249	R2	CBL	0.02
CRUK0249	R2	KEAP1	1
CRUK0249	R2	POLE	0.02
CRUK0249	R2	POT1	0.98
CRUK0249	R2	TP53	0.02
CRUK0249	R3	CBL	0.02
CRUK0249	R3	KEAP1	0.63
CRUK0249	R3	POLE	0.02
CRUK0249	R3	POT1	0.91
CRUK0249	R3	TP53	0.02
CRUK0249	R4	CBL	0.02
CRUK0249	R4	KEAP1	0.97
CRUK0249	R4	POLE	0.02
CRUK0249	R4	POT1	0.99
CRUK0249	R4	TP53	0.02
CRUK0249	R5	CBL	0.88
CRUK0249	R5	KEAP1	1
CRUK0249	R5	POLE	0.02
CRUK0249	R5	POT1	1
CRUK0249	R5	TP53	0.72
CRUK0254	R1	APC	1
CRUK0254	R1	ARHGAP35	0.02
CRUK0254	R1	CHD4	0.02
CRUK0254	R1	KMT2D	1
CRUK0254	R1	PTEN	1
CRUK0254	R1	RASA1	1
CRUK0254	R1	RNF43	0.88
CRUK0254	R1	TP53	1
CRUK0254	R2	APC	0.99
CRUK0254	R2	ARHGAP35	0.26
CRUK0254	R2	CHD4	0.02
CRUK0254	R2	KMT2D	1
CRUK0254	R2	PTEN	0.97
CRUK0254	R2	RASA1	1
CRUK0254	R2	RNF43	0.73
CRUK0254	R2	TP53	0.94
CRUK0254	R3	APC	0.02
CRUK0254	R3	ARHGAP35	0.02
CRUK0254	R3	CHD4	0.02
CRUK0254	R3	KMT2D	0.02
CRUK0254	R3	PTEN	0.02
CRUK0254	R3	RASA1	0.02
CRUK0254	R3	RNF43	0.02
CRUK0254	R3	TP53	0.02
CRUK0254	R4	APC	0.92
CRUK0254	R4	ARHGAP35	0.02
CRUK0254	R4	CHD4	0.88
CRUK0254	R4	KMT2D	1
CRUK0254	R4	PTEN	0.86
CRUK0254	R4	RASA1	1
CRUK0254	R4	RNF43	1
CRUK0254	R4	TP53	0.97
CRUK0256	LN1	B2M	0.02
CRUK0256	LN1	B2M	0.02
CRUK0256	LN1	B2M	0.02
CRUK0256	LN1	B2M	0.02
CRUK0256	LN1	CDKN2A	0.02
CRUK0256	LN1	CNOT3	0.02
CRUK0256	LN1	EP300	0.85
CRUK0256	LN1	FANCM	0.96
CRUK0256	LN1	NCOA6	0.02
CRUK0256	LN1	NOTCH1	0.97
CRUK0256	LN1	PIK3R1	0.02
CRUK0256	LN1	RB1	1
CRUK0256	LN1	TP53	1
CRUK0256	R1	B2M	0.02
CRUK0256	R1	B2M	0.02
CRUK0256	R1	B2M	0.02
CRUK0256	R1	B2M	0.93
CRUK0256	R1	CDKN2A	0.02
CRUK0256	R1	CNOT3	0.02
CRUK0256	R1	EP300	0.02
CRUK0256	R1	FANCM	1
CRUK0256	R1	NCOA6	0.29
CRUK0256	R1	NOTCH1	1
CRUK0256	R1	PIK3R1	0.02
CRUK0256	R1	RB1	1
CRUK0256	R1	TP53	1
CRUK0256	R2	B2M	0.02
CRUK0256	R2	B2M	0.02
CRUK0256	R2	B2M	0.02
CRUK0256	R2	B2M	0.91
CRUK0256	R2	CDKN2A	0.02
CRUK0256	R2	CNOT3	0.11
CRUK0256	R2	EP300	0.02
CRUK0256	R2	FANCM	0.88
CRUK0256	R2	NCOA6	0.02
CRUK0256	R2	NOTCH1	0.82
CRUK0256	R2	PIK3R1	0.02
CRUK0256	R2	RB1	0.99
CRUK0256	R2	TP53	1
CRUK0256	R3	B2M	0.02
CRUK0256	R3	B2M	0.17
CRUK0256	R3	B2M	0.7
CRUK0256	R3	B2M	1
CRUK0256	R3	CDKN2A	1
CRUK0256	R3	CNOT3	0.02
CRUK0256	R3	EP300	0.02
CRUK0256	R3	FANCM	0.91
CRUK0256	R3	NCOA6	0.02
CRUK0256	R3	NOTCH1	1
CRUK0256	R3	PIK3R1	0.62
CRUK0256	R3	RB1	1
CRUK0256	R3	TP53	0.99
CRUK0259	R1	BRIP1	0.7
CRUK0259	R1	CUX1	0.72
CRUK0259	R1	DDX3X	0.02
CRUK0259	R1	IKZF1	1
CRUK0259	R1	KRAS	1
CRUK0259	R1	PTPRC	0.39
CRUK0259	R2	BRIP1	0.02
CRUK0259	R2	CUX1	0.99
CRUK0259	R2	DDX3X	0.02
CRUK0259	R2	IKZF1	1
CRUK0259	R2	KRAS	1
CRUK0259	R2	PTPRC	0.02
CRUK0267	R1	EGFR	0.98
CRUK0267	R1	NCOR1	0.28
CRUK0267	R1	TP53	1
CRUK0267	R2	EGFR	1
CRUK0267	R2	NCOR1	0.02
CRUK0267	R2	TP53	0.97
CRUK0270	R1	CDK12	1
CRUK0270	R1	FANCM	0.02
CRUK0270	R1	GATA3	1
CRUK0270	R1	MAP3K13	0.97
CRUK0270	R1	POLE	0.98
CRUK0270	R1	SMARCA4	0.02
CRUK0270	R1	SMARCA4	1
CRUK0270	R1	STK11	0.84
CRUK0270	R1	STK11	0.96
CRUK0270	R1	UBR5	0.66
CRUK0270	R2	CDK12	1
CRUK0270	R2	FANCM	0.5
CRUK0270	R2	GATA3	1
CRUK0270	R2	MAP3K13	1
CRUK0270	R2	POLE	0.02
CRUK0270	R2	SMARCA4	0.02
CRUK0270	R2	SMARCA4	0.98
CRUK0270	R2	STK11	0.86
CRUK0270	R2	STK11	0.97
CRUK0270	R2	UBR5	0.76
CRUK0270	R3	CDK12	0.92
CRUK0270	R3	FANCM	0.02
CRUK0270	R3	GATA3	1
CRUK0270	R3	MAP3K13	1
CRUK0270	R3	POLE	0.02
CRUK0270	R3	SMARCA4	0.02
CRUK0270	R3	SMARCA4	1
CRUK0270	R3	STK11	0.89
CRUK0270	R3	STK11	0.91
CRUK0270	R3	UBR5	0.02
CRUK0270	R4	CDK12	0.96
CRUK0270	R4	FANCM	0.02
CRUK0270	R4	GATA3	0.92
CRUK0270	R4	MAP3K13	1
CRUK0270	R4	POLE	1
CRUK0270	R4	SMARCA4	0.02
CRUK0270	R4	SMARCA4	0.96
CRUK0270	R4	STK11	0.84
CRUK0270	R4	STK11	0.93
CRUK0270	R4	UBR5	0.74
CRUK0270	R5	CDK12	0.99
CRUK0270	R5	FANCM	0.02
CRUK0270	R5	GATA3	0.98
CRUK0270	R5	MAP3K13	1
CRUK0270	R5	POLE	0.02
CRUK0270	R5	SMARCA4	0.02
CRUK0270	R5	SMARCA4	0.97
CRUK0270	R5	STK11	0.91
CRUK0270	R5	STK11	0.95
CRUK0270	R5	UBR5	0.52
CRUK0270	R6	CDK12	1
CRUK0270	R6	FANCM	0.02
CRUK0270	R6	GATA3	1
CRUK0270	R6	MAP3K13	1
CRUK0270	R6	POLE	0.02
CRUK0270	R6	SMARCA4	0.15
CRUK0270	R6	SMARCA4	0.99
CRUK0270	R6	STK11	0.78
CRUK0270	R6	STK11	0.97
CRUK0270	R6	UBR5	0.86
CRUK0270	R7	CDK12	1
CRUK0270	R7	FANCM	0.02
CRUK0270	R7	GATA3	1
CRUK0270	R7	MAP3K13	0.94
CRUK0270	R7	POLE	0.02
CRUK0270	R7	SMARCA4	0.02
CRUK0270	R7	SMARCA4	0.98
CRUK0270	R7	STK11	0.8
CRUK0270	R7	STK11	1
CRUK0270	R7	UBR5	0.49
CRUK0270	R8	CDK12	1
CRUK0270	R8	FANCM	0.02
CRUK0270	R8	GATA3	0.89
CRUK0270	R8	MAP3K13	0.97
CRUK0270	R8	POLE	0.02
CRUK0270	R8	SMARCA4	0.02
CRUK0270	R8	SMARCA4	1
CRUK0270	R8	STK11	0.86
CRUK0270	R8	STK11	0.94
CRUK0270	R8	UBR5	0.65
CRUK0271	R1	ARID1B	0.02
CRUK0271	R1	ARID1B	0.02
CRUK0271	R1	ARID1B	1
CRUK0271	R1	CBLB	0.87
CRUK0271	R1	CTCF	1
CRUK0271	R1	GRIN2A	0.98
CRUK0271	R1	GRIN2A	0.99
CRUK0271	R1	KEAP1	1
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KMT2D	0.02
CRUK0271	R1	KRAS	1
CRUK0271	R1	RAD21	1
CRUK0271	R1	SMARCA4	0.02
CRUK0271	R1	SMARCA4	0.02
CRUK0271	R1	STK11	1
CRUK0271	R1	TP53	1
CRUK0271	R2	ARID1B	0.02
CRUK0271	R2	ARID1B	0.02
CRUK0271	R2	ARID1B	1
CRUK0271	R2	CBLB	0.99
CRUK0271	R2	CTCF	0.99
CRUK0271	R2	GRIN2A	1
CRUK0271	R2	GRIN2A	1
CRUK0271	R2	KEAP1	0.97
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KMT2D	0.02
CRUK0271	R2	KRAS	1
CRUK0271	R2	RAD21	1
CRUK0271	R2	SMARCA4	0.02
CRUK0271	R2	SMARCA4	0.02
CRUK0271	R2	STK11	1
CRUK0271	R2	TP53	1
CRUK0271	R3	ARID1B	0.02
CRUK0271	R3	ARID1B	0.02
CRUK0271	R3	ARID1B	1
CRUK0271	R3	CBLB	0.92
CRUK0271	R3	CTCF	1
CRUK0271	R3	GRIN2A	0.99
CRUK0271	R3	GRIN2A	1
CRUK0271	R3	KEAP1	0.98
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KMT2D	0.02
CRUK0271	R3	KRAS	0.92
CRUK0271	R3	RAD21	1
CRUK0271	R3	SMARCA4	0.02
CRUK0271	R3	SMARCA4	0.02
CRUK0271	R3	STK11	0.9
CRUK0271	R3	TP53	1
CRUK0271	R4	ARID1B	0.02
CRUK0271	R4	ARID1B	0.02
CRUK0271	R4	ARID1B	0.88
CRUK0271	R4	CBLB	0.95
CRUK0271	R4	CTCF	1
CRUK0271	R4	GRIN2A	0.93
CRUK0271	R4	GRIN2A	1
CRUK0271	R4	KEAP1	0.9
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KMT2D	0.02
CRUK0271	R4	KRAS	0.91
CRUK0271	R4	RAD21	1
CRUK0271	R4	SMARCA4	0.02
CRUK0271	R4	SMARCA4	0.02
CRUK0271	R4	STK11	0.98
CRUK0271	R4	TP53	0.95
CRUK0271	R5	ARID1B	0.02
CRUK0271	R5	ARID1B	0.02
CRUK0271	R5	ARID1B	1
CRUK0271	R5	CBLB	0.76
CRUK0271	R5	CTCF	1
CRUK0271	R5	GRIN2A	0.96
CRUK0271	R5	GRIN2A	0.98
CRUK0271	R5	KEAP1	1
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KMT2D	0.02
CRUK0271	R5	KRAS	1
CRUK0271	R5	RAD21	1
CRUK0271	R5	SMARCA4	0.02
CRUK0271	R5	SMARCA4	0.02
CRUK0271	R5	STK11	1
CRUK0271	R5	TP53	0.98
CRUK0271	R6	ARID1B	0.85
CRUK0271	R6	ARID1B	0.92
CRUK0271	R6	ARID1B	0.94
CRUK0271	R6	CBLB	1
CRUK0271	R6	CTCF	0.98
CRUK0271	R6	GRIN2A	1
CRUK0271	R6	GRIN2A	1
CRUK0271	R6	KEAP1	1
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KMT2D	0.02
CRUK0271	R6	KRAS	1
CRUK0271	R6	RAD21	0.77
CRUK0271	R6	SMARCA4	1
CRUK0271	R6	SMARCA4	1
CRUK0271	R6	STK11	0.99
CRUK0271	R6	TP53	0.92
CRUK0272	R1	BRAF	1
CRUK0272	R1	DOT1L	0.02
CRUK0272	R1	DOT1L	1
CRUK0272	R1	LATS1	0.99
CRUK0272	R1	RB1	0.02
CRUK0272	R1	STK11	1
CRUK0272	R1	TP53	0.99
CRUK0272	R1	WT1	0.02
CRUK0272	R2	BRAF	0.86
CRUK0272	R2	DOT1L	0.02
CRUK0272	R2	DOT1L	0.98
CRUK0272	R2	LATS1	1
CRUK0272	R2	RB1	0.02
CRUK0272	R2	STK11	0.91
CRUK0272	R2	TP53	0.98
CRUK0272	R2	WT1	0.02
CRUK0272	R3	BRAF	1
CRUK0272	R3	DOT1L	0.02
CRUK0272	R3	DOT1L	1
CRUK0272	R3	LATS1	1
CRUK0272	R3	RB1	0.02
CRUK0272	R3	STK11	0.91
CRUK0272	R3	TP53	0.95
CRUK0272	R3	WT1	0.02
CRUK0272	R4	BRAF	0.83
CRUK0272	R4	DOT1L	0.02
CRUK0272	R4	DOT1L	1
CRUK0272	R4	LATS1	0.98
CRUK0272	R4	RB1	0.02
CRUK0272	R4	STK11	0.95
CRUK0272	R4	TP53	0.98
CRUK0272	R4	WT1	0.02
CRUK0272	R5	BRAF	0.99
CRUK0272	R5	DOT1L	0.97
CRUK0272	R5	DOT1L	0.97
CRUK0272	R5	LATS1	1
CRUK0272	R5	RB1	1
CRUK0272	R5	STK11	0.94
CRUK0272	R5	TP53	1
CRUK0272	R5	WT1	0.75
CRUK0274	R1	ANK2	0.02
CRUK0274	R1	ANK2	0.02
CRUK0274	R1	ANK2	0.02
CRUK0274	R1	ARID1A	0.02
CRUK0274	R1	ARID1A	0.99
CRUK0274	R1	ARID1A	1
CRUK0274	R1	ATM	0.41
CRUK0274	R1	ATM	0.63
CRUK0274	R1	DNAH12	1
CRUK0274	R1	HIST1H4E	0.09
CRUK0274	R1	KRAS	0.99
CRUK0274	R1	RAD21	0.02
CRUK0274	R1	SMARCB1	0.02
CRUK0274	R1	TP53	0.02
CRUK0274	R2	ANK2	0.02
CRUK0274	R2	ANK2	0.02
CRUK0274	R2	ANK2	0.6
CRUK0274	R2	ARID1A	0.02
CRUK0274	R2	ARID1A	0.02
CRUK0274	R2	ARID1A	0.08
CRUK0274	R2	ATM	0.69
CRUK0274	R2	ATM	0.8
CRUK0274	R2	DNAH12	0.87
CRUK0274	R2	HIST1H4E	0.02
CRUK0274	R2	KRAS	0.97
CRUK0274	R2	RAD21	0.19
CRUK0274	R2	SMARCB1	0.9
CRUK0274	R2	TP53	0.98
CRUK0274	R3	ANK2	0.02
CRUK0274	R3	ANK2	0.07
CRUK0274	R3	ANK2	0.18
CRUK0274	R3	ARID1A	0.39
CRUK0274	R3	ARID1A	0.84
CRUK0274	R3	ARID1A	1
CRUK0274	R3	ATM	0.59
CRUK0274	R3	ATM	0.71
CRUK0274	R3	DNAH12	0.98
CRUK0274	R3	HIST1H4E	0.02
CRUK0274	R3	KRAS	0.93
CRUK0274	R3	RAD21	0.54
CRUK0274	R3	SMARCB1	0.28
CRUK0274	R3	TP53	0.41
CRUK0274	R4	ANK2	0.02
CRUK0274	R4	ANK2	0.02
CRUK0274	R4	ANK2	0.14
CRUK0274	R4	ARID1A	0.31
CRUK0274	R4	ARID1A	0.34
CRUK0274	R4	ARID1A	1
CRUK0274	R4	ATM	0.32
CRUK0274	R4	ATM	0.55
CRUK0274	R4	DNAH12	1
CRUK0274	R4	HIST1H4E	0.02
CRUK0274	R4	KRAS	1
CRUK0274	R4	RAD21	0.82
CRUK0274	R4	SMARCB1	0.02
CRUK0274	R4	TP53	0.02
CRUK0276	R1	BRCA2	0.86
CRUK0276	R1	DDX3X	0.02
CRUK0276	R1	DICER1	0.65
CRUK0276	R1	FANCM	0.02
CRUK0276	R1	FANCM	0.02
CRUK0276	R1	GRIN2A	0.02
CRUK0276	R1	GRIN2A	1
CRUK0276	R1	KRAS	0.93
CRUK0276	R1	NF1	0.92
CRUK0276	R1	RYR2	0.02
CRUK0276	R1	RYR2	0.85
CRUK0276	R1	RYR2	0.91
CRUK0276	R1	RYR2	0.93
CRUK0276	R1	RYR2	0.95
CRUK0276	R1	RYR2	1
CRUK0276	R1	RYR2	1
CRUK0276	R1	TP53	0.95
CRUK0276	R2	BRCA2	0.02
CRUK0276	R2	DDX3X	0.02
CRUK0276	R2	DICER1	0.92
CRUK0276	R2	FANCM	0.38
CRUK0276	R2	FANCM	0.6
CRUK0276	R2	GRIN2A	0.76
CRUK0276	R2	GRIN2A	0.99
CRUK0276	R2	KRAS	1
CRUK0276	R2	NF1	0.99
CRUK0276	R2	RYR2	0.02
CRUK0276	R2	RYR2	0.5
CRUK0276	R2	RYR2	0.55
CRUK0276	R2	RYR2	0.6
CRUK0276	R2	RYR2	0.97
CRUK0276	R2	RYR2	1
CRUK0276	R2	RYR2	1
CRUK0276	R2	TP53	1
CRUK0276	R3	BRCA2	0.02
CRUK0276	R3	DDX3X	0.02
CRUK0276	R3	DICER1	0.88
CRUK0276	R3	FANCM	0.02
CRUK0276	R3	FANCM	0.02
CRUK0276	R3	GRIN2A	0.78
CRUK0276	R3	GRIN2A	1
CRUK0276	R3	KRAS	0.93
CRUK0276	R3	NF1	0.89
CRUK0276	R3	RYR2	0.02
CRUK0276	R3	RYR2	0.02
CRUK0276	R3	RYR2	0.02
CRUK0276	R3	RYR2	0.95
CRUK0276	R3	RYR2	1
CRUK0276	R3	RYR2	1
CRUK0276	R3	RYR2	1
CRUK0276	R3	TP53	1
CRUK0280	R1	KRAS	0.86
CRUK0280	R1	SGK223	0.02
CRUK0280	R2	KRAS	0.99
CRUK0280	R2	SGK223	0.02
CRUK0280	R3	KRAS	0.81
CRUK0280	R3	SGK223	0.02
CRUK0280	R4	KRAS	0.02
CRUK0280	R4	SGK223	0.02
CRUK0280	R5	KRAS	1
CRUK0280	R5	SGK223	0.13
CRUK0284	R1	ATM	0.02
CRUK0284	R1	KRAS	0.82
CRUK0284	R1	STK11	0.02
CRUK0284	R1	TP53	1
CRUK0284	R1	ZFP36L1	0.95
CRUK0284	R1	ZMYM2	0.02
CRUK0284	R2	ATM	0.02
CRUK0284	R2	KRAS	0.95
CRUK0284	R2	STK11	0.91
CRUK0284	R2	TP53	0.89
CRUK0284	R2	ZFP36L1	0.87
CRUK0284	R2	ZMYM2	1
CRUK0284	R3	ATM	0.02
CRUK0284	R3	KRAS	0.92
CRUK0284	R3	STK11	0.02
CRUK0284	R3	TP53	0.85
CRUK0284	R3	ZFP36L1	0.92
CRUK0284	R3	ZMYM2	1
CRUK0284	R4	ATM	0.55
CRUK0284	R4	KRAS	1
CRUK0284	R4	STK11	0.02
CRUK0284	R4	TP53	1
CRUK0284	R4	ZFP36L1	0.95
CRUK0284	R4	ZMYM2	0.9
CRUK0284	R5	ATM	0.02
CRUK0284	R5	KRAS	0.94
CRUK0284	R5	STK11	0.02
CRUK0284	R5	TP53	0.88
CRUK0284	R5	ZFP36L1	0.91
CRUK0284	R5	ZMYM2	0.85
CRUK0286	R1	AMER1	0.02
CRUK0286	R1	ARID1A	0.38
CRUK0286	R1	B2M	0.09
CRUK0286	R1	B2M	0.71
CRUK0286	R1	B2M	0.02
CRUK0286	R1	CHD4	0.02
CRUK0286	R1	CYLD	0.84
CRUK0286	R1	MAP3K1	1
CRUK0286	R1	PTEN	0.81
CRUK0286	R1	PTPRB	0.61
CRUK0286	R1	SETD2	0.64
CRUK0286	R1	SMAD4	0.87
CRUK0286	R1	SPEN	0.74
CRUK0286	R1	TP53	1
CRUK0286	R2	AMER1	0.02
CRUK0286	R2	ARID1A	0.02
CRUK0286	R2	B2M	0.02
CRUK0286	R2	B2M	0.02
CRUK0286	R2	B2M	0.02
CRUK0286	R2	CHD4	0.02
CRUK0286	R2	CYLD	0.02
CRUK0286	R2	MAP3K1	0.02
CRUK0286	R2	PTEN	0.02
CRUK0286	R2	PTPRB	0.02
CRUK0286	R2	SETD2	0.02
CRUK0286	R2	SMAD4	0.02
CRUK0286	R2	SPEN	0.02
CRUK0286	R2	TP53	0.02
CRUK0286	R3	AMER1	0.02
CRUK0286	R3	ARID1A	1
CRUK0286	R3	B2M	0.17
CRUK0286	R3	B2M	0.7
CRUK0286	R3	B2M	0.02
CRUK0286	R3	CHD4	0.02
CRUK0286	R3	CYLD	0.92
CRUK0286	R3	MAP3K1	0.91
CRUK0286	R3	PTEN	0.88
CRUK0286	R3	PTPRB	1
CRUK0286	R3	SETD2	0.7
CRUK0286	R3	SMAD4	0.71
CRUK0286	R3	SPEN	1
CRUK0286	R3	TP53	1
CRUK0296	R1	BAP1	0.37
CRUK0296	R1	KRAS	0.77
CRUK0296	R1	RNF43	0.95
CRUK0296	R1	STK11	0.87
CRUK0296	R2	BAP1	0.02
CRUK0296	R2	KRAS	1
CRUK0296	R2	RNF43	1
CRUK0296	R2	STK11	0.76
CRUK0299	R1	ARID2	0.88
CRUK0299	R1	COL2A1	0.02
CRUK0299	R1	CREBBP	1
CRUK0299	R1	EGFR	1
CRUK0299	R1	GRIN2A	1
CRUK0299	R1	SGK223	1
CRUK0299	R1	TP53	0.02
CRUK0299	R1	TP53	1
CRUK0299	R2	ARID2	0.02
CRUK0299	R2	COL2A1	0.99
CRUK0299	R2	CREBBP	0.02
CRUK0299	R2	EGFR	1
CRUK0299	R2	GRIN2A	0.02
CRUK0299	R2	SGK223	0.02
CRUK0299	R2	TP53	0.02
CRUK0299	R2	TP53	1
CRUK0303	R1	ARID2	0.96
CRUK0303	R1	BCOR	0.02
CRUK0303	R1	BCOR	0.02
CRUK0303	R1	BCOR	0.02
CRUK0303	R1	COL5A2	0.02
CRUK0303	R1	COL5A2	1
CRUK0303	R1	COL5A2	1
CRUK0303	R1	FAT1	1
CRUK0303	R1	KMT2C	0.91
CRUK0303	R1	NOTCH2	1
CRUK0303	R1	STAG2	0.02
CRUK0303	R2	ARID2	0.87
